genome_id	species_id	genome_path	_old_genome_id	ncbi_assembly_name	ncbi_assembly_biosample	comments
Escherichia-coli-GCF_030199005-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199005-1/assembly.fa		GCA_030199005.1	SAMN33450410	From PRJNA938932 GCA_030199005.1;
Escherichia-coli-GCF_030199015-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199015-1/assembly.fa		GCA_030199015.1	SAMN33450408	From PRJNA938932 GCA_030199015.1;
Escherichia-coli-GCF_030199035-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199035-1/assembly.fa		GCA_030199035.1	SAMN33450409	From PRJNA938932 GCA_030199035.1;
Escherichia-coli-GCF_030199075-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199075-1/assembly.fa		GCA_030199075.1	SAMN33450407	From PRJNA938932 GCA_030199075.1;
Escherichia-coli-GCF_030199095-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199095-1/assembly.fa		GCA_030199095.1	SAMN33450406	From PRJNA938932 GCA_030199095.1;
Escherichia-coli-GCF_030199105-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199105-1/assembly.fa		GCA_030199105.1	SAMN33450403	From PRJNA938932 GCA_030199105.1;
Escherichia-coli-GCF_030199135-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199135-1/assembly.fa		GCA_030199135.1	SAMN33450404	From PRJNA938932 GCA_030199135.1;
Escherichia-coli-GCF_030199145-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199145-1/assembly.fa		GCA_030199145.1	SAMN33450405	From PRJNA938932 GCA_030199145.1;
Escherichia-coli-GCF_030199175-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199175-1/assembly.fa		GCA_030199175.1	SAMN33450402	From PRJNA938932 GCA_030199175.1;
Escherichia-coli-GCF_030199195-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199195-1/assembly.fa		GCA_030199195.1	SAMN33450401	From PRJNA938932 GCA_030199195.1;
Escherichia-coli-GCF_030199215-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199215-1/assembly.fa		GCA_030199215.1	SAMN33450400	From PRJNA938932 GCA_030199215.1;
Escherichia-coli-GCF_030199225-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199225-1/assembly.fa		GCA_030199225.1	SAMN33450399	From PRJNA938932 GCA_030199225.1;
Escherichia-coli-GCF_030199255-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199255-1/assembly.fa		GCA_030199255.1	SAMN33450398	From PRJNA938932 GCA_030199255.1;
Escherichia-coli-GCF_030199275-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199275-1/assembly.fa		GCA_030199275.1	SAMN33450397	From PRJNA938932 GCA_030199275.1;
Escherichia-coli-GCF_030199295-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199295-1/assembly.fa		GCA_030199295.1	SAMN33450396	From PRJNA938932 GCA_030199295.1;
Escherichia-coli-GCF_030199315-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199315-1/assembly.fa		GCA_030199315.1	SAMN33450395	From PRJNA938932 GCA_030199315.1;
Escherichia-coli-GCF_030199335-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199335-1/assembly.fa		GCA_030199335.1	SAMN33450394	From PRJNA938932 GCA_030199335.1;
Escherichia-coli-GCF_030199355-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199355-1/assembly.fa		GCA_030199355.1	SAMN33450393	From PRJNA938932 GCA_030199355.1;
Escherichia-coli-GCF_030199375-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199375-1/assembly.fa		GCA_030199375.1	SAMN33450392	From PRJNA938932 GCA_030199375.1;
Escherichia-coli-GCF_030199395-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199395-1/assembly.fa		GCA_030199395.1	SAMN33450390	From PRJNA938932 GCA_030199395.1;
Escherichia-coli-GCF_030199415-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199415-1/assembly.fa		GCA_030199415.1	SAMN33450391	From PRJNA938932 GCA_030199415.1;
Escherichia-coli-GCF_030199435-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199435-1/assembly.fa		GCA_030199435.1	SAMN33450389	From PRJNA938932 GCA_030199435.1;
Escherichia-coli-GCF_030199455-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199455-1/assembly.fa		GCA_030199455.1	SAMN33450387	From PRJNA938932 GCA_030199455.1;
Escherichia-coli-GCF_030199475-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199475-1/assembly.fa		GCA_030199475.1	SAMN33450388	From PRJNA938932 GCA_030199475.1;
Escherichia-coli-GCF_030199495-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199495-1/assembly.fa		GCA_030199495.1	SAMN33450386	From PRJNA938932 GCA_030199495.1;
Escherichia-coli-GCF_030199515-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199515-1/assembly.fa		GCA_030199515.1	SAMN33450385	From PRJNA938932 GCA_030199515.1;
Escherichia-coli-GCF_030199535-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199535-1/assembly.fa		GCA_030199535.1	SAMN33450384	From PRJNA938932 GCA_030199535.1;
Escherichia-coli-GCF_030199555-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199555-1/assembly.fa		GCA_030199555.1	SAMN33450383	From PRJNA938932 GCA_030199555.1;
Escherichia-coli-GCF_030199575-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199575-1/assembly.fa		GCA_030199575.1	SAMN33450382	From PRJNA938932 GCA_030199575.1;
Escherichia-coli-GCF_030199595-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199595-1/assembly.fa		GCA_030199595.1	SAMN33450381	From PRJNA938932 GCA_030199595.1;
Escherichia-coli-GCF_030199615-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199615-1/assembly.fa		GCA_030199615.1	SAMN33450380	From PRJNA938932 GCA_030199615.1;
Escherichia-coli-GCF_030199635-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199635-1/assembly.fa		GCA_030199635.1	SAMN33450379	From PRJNA938932 GCA_030199635.1;
Escherichia-coli-GCF_030199655-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199655-1/assembly.fa		GCA_030199655.1	SAMN33450378	From PRJNA938932 GCA_030199655.1;
Escherichia-coli-GCF_030199675-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199675-1/assembly.fa		GCA_030199675.1	SAMN33450377	From PRJNA938932 GCA_030199675.1;
Escherichia-coli-GCF_030199695-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199695-1/assembly.fa		GCA_030199695.1	SAMN33450376	From PRJNA938932 GCA_030199695.1;
Escherichia-coli-GCF_030199705-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199705-1/assembly.fa		GCA_030199705.1	SAMN33450375	From PRJNA938932 GCA_030199705.1;
Escherichia-coli-GCF_030199735-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199735-1/assembly.fa		GCA_030199735.1	SAMN33450374	From PRJNA938932 GCA_030199735.1;
Escherichia-coli-GCF_030199755-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199755-1/assembly.fa		GCA_030199755.1	SAMN33450373	From PRJNA938932 GCA_030199755.1;
Escherichia-coli-GCF_030199775-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199775-1/assembly.fa		GCA_030199775.1	SAMN33450370	From PRJNA938932 GCA_030199775.1;
Escherichia-coli-GCF_030199785-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199785-1/assembly.fa		GCA_030199785.1	SAMN33450369	From PRJNA938932 GCA_030199785.1;
Escherichia-coli-GCF_030199795-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199795-1/assembly.fa		GCA_030199795.1	SAMN33450368	From PRJNA938932 GCA_030199795.1;
Escherichia-coli-GCF_030199835-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199835-1/assembly.fa		GCA_030199835.1	SAMN33450367	From PRJNA938932 GCA_030199835.1;
Escherichia-coli-GCF_030199855-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199855-1/assembly.fa		GCA_030199855.1	SAMN33450364	From PRJNA938932 GCA_030199855.1;
Escherichia-coli-GCF_030199875-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199875-1/assembly.fa		GCA_030199875.1	SAMN33450365	From PRJNA938932 GCA_030199875.1;
Escherichia-coli-GCF_030199895-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199895-1/assembly.fa		GCA_030199895.1	SAMN33450366	From PRJNA938932 GCA_030199895.1;
Escherichia-coli-GCF_030199915-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199915-1/assembly.fa		GCA_030199915.1	SAMN33450363	From PRJNA938932 GCA_030199915.1;
Escherichia-coli-GCF_030199935-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199935-1/assembly.fa		GCA_030199935.1	SAMN33450360	From PRJNA938932 GCA_030199935.1;
Escherichia-coli-GCF_030199955-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199955-1/assembly.fa		GCA_030199955.1	SAMN33450362	From PRJNA938932 GCA_030199955.1;
Escherichia-coli-GCF_030199975-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199975-1/assembly.fa		GCA_030199975.1	SAMN33450361	From PRJNA938932 GCA_030199975.1;
Escherichia-coli-GCF_030199995-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030199995-1/assembly.fa		GCA_030199995.1	SAMN33450359	From PRJNA938932 GCA_030199995.1;
Escherichia-coli-GCF_030200015-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200015-1/assembly.fa		GCA_030200015.1	SAMN33450358	From PRJNA938932 GCA_030200015.1;
Escherichia-coli-GCF_030200035-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200035-1/assembly.fa		GCA_030200035.1	SAMN33450357	From PRJNA938932 GCA_030200035.1;
Escherichia-coli-GCF_030200055-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200055-1/assembly.fa		GCA_030200055.1	SAMN33450356	From PRJNA938932 GCA_030200055.1;
Escherichia-coli-GCF_030200075-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200075-1/assembly.fa		GCA_030200075.1	SAMN33450355	From PRJNA938932 GCA_030200075.1;
Escherichia-coli-GCF_030200095-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200095-1/assembly.fa		GCA_030200095.1	SAMN33450354	From PRJNA938932 GCA_030200095.1;
Escherichia-coli-GCF_030200115-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200115-1/assembly.fa		GCA_030200115.1	SAMN33450353	From PRJNA938932 GCA_030200115.1;
Escherichia-coli-GCF_030200135-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200135-1/assembly.fa		GCA_030200135.1	SAMN33450352	From PRJNA938932 GCA_030200135.1;
Escherichia-coli-GCF_030200145-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200145-1/assembly.fa		GCA_030200145.1	SAMN33450351	From PRJNA938932 GCA_030200145.1;
Escherichia-coli-GCF_030200175-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200175-1/assembly.fa		GCA_030200175.1	SAMN33450350	From PRJNA938932 GCA_030200175.1;
Escherichia-coli-GCF_030200195-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200195-1/assembly.fa		GCA_030200195.1	SAMN33450349	From PRJNA938932 GCA_030200195.1;
Escherichia-coli-GCF_030200205-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200205-1/assembly.fa		GCA_030200205.1	SAMN33450347	From PRJNA938932 GCA_030200205.1;
Escherichia-coli-GCF_030200235-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200235-1/assembly.fa		GCA_030200235.1	SAMN33450346	From PRJNA938932 GCA_030200235.1;
Escherichia-coli-GCF_030200245-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200245-1/assembly.fa		GCA_030200245.1	SAMN33450348	From PRJNA938932 GCA_030200245.1;
Escherichia-coli-GCF_030200275-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200275-1/assembly.fa		GCA_030200275.1	SAMN33450371	From PRJNA938932 GCA_030200275.1;
Escherichia-coli-GCF_030200295-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200295-1/assembly.fa		GCA_030200295.1	SAMN33450345	From PRJNA938932 GCA_030200295.1;
Escherichia-coli-GCF_030200305-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200305-1/assembly.fa		GCA_030200305.1	SAMN33450344	From PRJNA938932 GCA_030200305.1;
Escherichia-coli-GCF_030200335-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200335-1/assembly.fa		GCA_030200335.1	SAMN33450342	From PRJNA938932 GCA_030200335.1;
Escherichia-coli-GCF_030200345-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200345-1/assembly.fa		GCA_030200345.1	SAMN33450343	From PRJNA938932 GCA_030200345.1;
Escherichia-coli-GCF_030200375-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200375-1/assembly.fa		GCA_030200375.1	SAMN33450341	From PRJNA938932 GCA_030200375.1;
Escherichia-coli-GCF_030200395-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200395-1/assembly.fa		GCA_030200395.1	SAMN33450339	From PRJNA938932 GCA_030200395.1;
Escherichia-coli-GCF_030200405-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200405-1/assembly.fa		GCA_030200405.1	SAMN33450336	From PRJNA938932 GCA_030200405.1;
Escherichia-coli-GCF_030200415-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200415-1/assembly.fa		GCA_030200415.1	SAMN33450340	From PRJNA938932 GCA_030200415.1;
Escherichia-coli-GCF_030200455-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200455-1/assembly.fa		GCA_030200455.1	SAMN33450337	From PRJNA938932 GCA_030200455.1;
Escherichia-coli-GCF_030200475-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200475-1/assembly.fa		GCA_030200475.1	SAMN33450335	From PRJNA938932 GCA_030200475.1;
Escherichia-coli-GCF_030200495-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200495-1/assembly.fa		GCA_030200495.1	SAMN33450332	From PRJNA938932 GCA_030200495.1;
Escherichia-coli-GCF_030200515-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200515-1/assembly.fa		GCA_030200515.1	SAMN33450334	From PRJNA938932 GCA_030200515.1;
Escherichia-coli-GCF_030200525-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200525-1/assembly.fa		GCA_030200525.1	SAMN33450331	From PRJNA938932 GCA_030200525.1;
Escherichia-coli-GCF_030200535-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200535-1/assembly.fa		GCA_030200535.1	SAMN33450333	From PRJNA938932 GCA_030200535.1;
Escherichia-coli-GCF_030200575-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200575-1/assembly.fa		GCA_030200575.1	SAMN33450330	From PRJNA938932 GCA_030200575.1;
Escherichia-coli-GCF_030200595-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200595-1/assembly.fa		GCA_030200595.1	SAMN33450329	From PRJNA938932 GCA_030200595.1;
Escherichia-coli-GCF_030200615-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200615-1/assembly.fa		GCA_030200615.1	SAMN33450327	From PRJNA938932 GCA_030200615.1;
Escherichia-coli-GCF_030200625-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200625-1/assembly.fa		GCA_030200625.1	SAMN33450326	From PRJNA938932 GCA_030200625.1;
Escherichia-coli-GCF_030200645-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200645-1/assembly.fa		GCA_030200645.1	SAMN33450325	From PRJNA938932 GCA_030200645.1;
Escherichia-coli-GCF_030200675-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200675-1/assembly.fa		GCA_030200675.1	SAMN33450328	From PRJNA938932 GCA_030200675.1;
Escherichia-coli-GCF_030200695-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200695-1/assembly.fa		GCA_030200695.1	SAMN33450324	From PRJNA938932 GCA_030200695.1;
Escherichia-coli-GCF_030200715-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200715-1/assembly.fa		GCA_030200715.1	SAMN33450322	From PRJNA938932 GCA_030200715.1;
Escherichia-coli-GCF_030200735-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200735-1/assembly.fa		GCA_030200735.1	SAMN33450321	From PRJNA938932 GCA_030200735.1;
Escherichia-coli-GCF_030200745-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200745-1/assembly.fa		GCA_030200745.1	SAMN33450323	From PRJNA938932 GCA_030200745.1;
Escherichia-coli-GCF_030200775-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200775-1/assembly.fa		GCA_030200775.1	SAMN33450320	From PRJNA938932 GCA_030200775.1;
Escherichia-coli-GCF_030200795-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200795-1/assembly.fa		GCA_030200795.1	SAMN33450319	From PRJNA938932 GCA_030200795.1;
Escherichia-coli-GCF_030200815-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200815-1/assembly.fa		GCA_030200815.1	SAMN33450318	From PRJNA938932 GCA_030200815.1;
Escherichia-coli-GCF_030200825-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200825-1/assembly.fa		GCA_030200825.1	SAMN33450317	From PRJNA938932 GCA_030200825.1;
Escherichia-coli-GCF_030200835-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200835-1/assembly.fa		GCA_030200835.1	SAMN33450315	From PRJNA938932 GCA_030200835.1;
Escherichia-coli-GCF_030200875-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200875-1/assembly.fa		GCA_030200875.1	SAMN33450316	From PRJNA938932 GCA_030200875.1;
Escherichia-coli-GCF_030200895-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200895-1/assembly.fa		GCA_030200895.1	SAMN33450314	From PRJNA938932 GCA_030200895.1;
Escherichia-coli-GCF_030200915-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200915-1/assembly.fa		GCA_030200915.1	SAMN33450310	From PRJNA938932 GCA_030200915.1;
Escherichia-coli-GCF_030200935-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200935-1/assembly.fa		GCA_030200935.1	SAMN33450311	From PRJNA938932 GCA_030200935.1;
Escherichia-coli-GCF_030200955-1	102506	raw/genomes/ncbi/Escherichia-coli-GCF_030200955-1/assembly.fa		GCA_030200955.1	SAMN33450312	From PRJNA938932 GCA_030200955.1;
